Name,    Ronny,Rhea,Will,Joe,Done#,
Cash,307,308,137,88,
Baltimore & Ohio,0,0,2,0,
Boston & Maine,0,1,0,0,
Chesapeake & Ohio,0,1,1,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,2,0,1,6,
Nickel Plate,0,3,0,1,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Baltimore & Ohio,0,0,0,0,
Boston & Maine,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,0,0,0,0,
Nickel Plate,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 330,380,425,0,0,390,570,0,0,0,
NetProfit,60,200,0,0,0,0,100,0,0,0,
Valuation, 6,7,0,0,0,0,0,0,4,0,
President, 2,1,1,6,6,3,1,6,3,6,
Shares, 5,6,4,10,10,1,5,10,10,10,
Orphans, 3,3,4,0,0,0,1,0,0,0,
Started, 1,1,1,0,0,1,1,0,0,0,
Reship, 0,0,0,0,0,0,0,0,1,0,
TurnOrder, 1,0,4,5,6,7,3,8,2,9,
Albany,0,0,0,0,0,0,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,0,0,0,0,0,0,0,0,0,0,
Boston,0,0,0,0,0,0,0,0,0,0,
Buffalo,0,0,0,0,0,0,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,0,0,0,0,0,0,0,0,0,0,
Cincinnati,0,0,0,0,0,0,0,0,0,0,
Cleveland,0,0,0,0,0,0,0,0,0,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,0,0,0,0,0,0,0,0,0,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,0,0,0,0,0,0,0,0,0,0,
Harrisburg,0,0,0,0,0,0,0,0,0,0,
Hartford,0,0,0,0,0,0,0,0,0,0,
Hunington,0,0,0,0,0,0,0,0,0,0,
Indainapolis,0,0,0,0,0,0,0,0,0,0,
Lexington,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,0,0,0,0,0,0,0,0,
NewHaven,0,0,0,0,0,0,0,0,0,0,
NewYork,0,0,0,0,0,0,0,0,0,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,0,0,0,0,0,0,0,0,0,0,
Pittsburg,0,0,0,0,0,0,0,0,0,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,0,0,0,0,0,0,0,0,
Roanoke,0,0,0,0,0,0,0,0,0,0,
SaintLouis,0,0,0,0,0,0,0,0,0,0,
Springfield,0,0,0,0,0,0,0,0,0,0,
Syracuse,0,0,0,0,0,0,0,0,0,0,
Utica,0,0,0,0,0,0,0,0,0,0,
Washington,0,0,0,0,0,0,0,0,0,0,
Wheeling,0,0,0,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,0,0,
Coal2,0,0,0,0,0,0,0,0,0,0,
Coal3,0,0,0,0,0,0,0,0,0,0,
Coal4,0,0,0,0,0,0,0,0,0,0,
Coal5,0,0,0,0,0,0,0,0,0,0,
1,0,-1,0,0,0,0,0,0,0,0,
2,1,0,0,0,0,0,0,0,0,0,
3,0,0,1,0,0,0,0,0,0,0,
4,0,0,0,0,0,-1,0,0,0,0,
5,0,0,0,0,0,0,1,0,0,0,
6,0,1,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,1,0,0,0,0,
8,0,0,0,0,0,1,0,0,0,0,
9,0,0,0,0,0,1,0,0,0,0,
10,0,0,0,0,0,1,0,0,0,0,
11,0,0,0,0,0,1,0,0,0,0,
12,0,0,0,0,0,1,0,0,0,0,
13,0,0,0,0,0,1,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
